edgeID,startNode,endNode
DHALL00102_DHALL00202,DHALL00102,DHALL00202
DHALL00202_DHALL00302,DHALL00202,DHALL00302
DHALL00302_DHALL00402,DHALL00302,DHALL00402
DHALL00302_DHALL00502,DHALL00302,DHALL00502
DHALL00502_DHALL00602,DHALL00502,DHALL00602
DHALL00602_DHALL00702,DHALL00602,DHALL00702
DHALL00702_DHALL00802,DHALL00702,DHALL00802
DHALL00802_DHALL00902,DHALL00802,DHALL00902
DHALL00902_DHALL01002,DHALL00902,DHALL01002
DHALL01002_DHALL01102,DHALL01002,DHALL01102
DHALL01102_DHALL01202,DHALL01102,DHALL01202
DHALL01202_DHALL01302,DHALL01202,DHALL01302
DHALL01302_DHALL01402,DHALL01302,DHALL01402
DHALL00902_DSTAI00102,DHALL00902,DSTAI00102
DHALL01202_DCONF00102,DHALL01202,DCONF00102
DHALL01402_DHALL01502,DHALL01402,DHALL01502
DHALL01502_DELEV00A02,DHALL01502,DELEV00A02
DHALL01202_DHALL01602,DHALL01202,DHALL01602
DHALL01602_DHALL01702,DHALL01602,DHALL01702
DHALL01702_DHALL01802,DHALL01702,DHALL01802
DHALL01702_DHALL01902,DHALL01702,DHALL01902
DHALL01902_DHALL06002,DHALL01902,DHALL06002
DHALL06002_DSTAI00202,DHALL06002,DSTAI00202
DHALL06002_DHALL02002,DHALL06002,DHALL02002
DHALL02002_DHALL02102,DHALL02002,DHALL02102
DHALL02102_DHALL02202,DHALL02102,DHALL02202
DHALL02202_DHALL02302,DHALL02202,DHALL02302
DHALL02202_DRETL00102,DHALL02202,DRETL00102
DHALL02302_DSTAI00302,DHALL02302,DSTAI00302
DHALL01902_DHALL02602,DHALL01902,DHALL02602
DHALL02302_DHALL02402,DHALL02302,DHALL02402
DHALL02402_DHALL02502,DHALL02402,DHALL02502
DHALL02602_DHALL02702,DHALL02602,DHALL02702
DHALL02702_DEXIT00102,DHALL02702,DEXIT00102
DHALL02702_DDEPT00102,DHALL02702,DDEPT00102
DHALL02702_DDEPT00202,DHALL02702,DDEPT00202
DHALL02602_DHALL02802,DHALL02602,DHALL02802
DHALL02802_DHALL02902,DHALL02802,DHALL02902
DHALL02902_DHALL03002,DHALL02902,DHALL03002
DHALL03002_DHALL03102,DHALL03002,DHALL03102
DHALL02802_DINFO00102,DHALL02802,DINFO00102
DHALL02902_DSTAI00402,DHALL02902,DSTAI00402
DHALL03102_DELEV00B02,DHALL03102,DELEV00B02
DHALL03102_DREST00102,DHALL03102,DREST00102
DHALL03002_DHALL03202,DHALL03002,DHALL03202
DHALL03202_DHALL03302,DHALL03202,DHALL03302
DHALL03302_DSTAI00502,DHALL03302,DSTAI00502
DHALL03202_DHALL03402,DHALL03202,DHALL03402
DHALL03402_DHALL03502,DHALL03402,DHALL03502
DHALL03502_DHALL03602,DHALL03502,DHALL03602
DHALL03602_DHALL03702,DHALL03602,DHALL03702
DHALL03702_DHALL03802,DHALL03702,DHALL03802
DHALL03802_DHALL03902,DHALL03802,DHALL03902
DHALL03702_DSTAI00602,DHALL03702,DSTAI00602
DHALL03802_DELEV00C02,DHALL03802,DELEV00C02
DHALL03402_DHALL04002,DHALL03402,DHALL04002
DHALL04002_DREST00202,DHALL04002,DREST00202
DHALL04002_DDEPT00302,DHALL04002,DDEPT00302
DDEPT00302_DHALL04102,DDEPT00302,DHALL04102
DHALL04102_DHALL04202,DHALL04102,DHALL04202
DHALL04102_DSTAI00702,DHALL04102,DSTAI00702
DHALL03402_DHALL04302,DHALL03402,DHALL04302
DHALL04302_DHALL04402,DHALL04302,DHALL04402
DHALL04402_DHALL04502,DHALL04402,DHALL04502
DHALL04302_DHALL04602,DHALL04302,DHALL04602
DHALL04602_DLABS00102,DHALL04602,DLABS00102
DHALL04602_DHALL04702,DHALL04602,DHALL04702
DHALL04702_DHALL04802,DHALL04702,DHALL04802
DHALL04802_DHALL04902,DHALL04802,DHALL04902
DHALL04802_DHALL05002,DHALL04802,DHALL05002
DHALL05002_DREST00302,DHALL05002,DREST00302
DHALL05002_DHALL05102,DHALL05002,DHALL05102
DHALL05102_DHALL05202,DHALL05102,DHALL05202
DHALL05202_DSTAI00802,DHALL05202,DSTAI00802
DHALL05102_DHALL05302,DHALL05102,DHALL05302
DHALL05302_DREST00402,DHALL05302,DREST00402
DHALL05302_DHALL05402,DHALL05302,DHALL05402
DHALL05402_DINFO00202,DHALL05402,DINFO00202
DHALL05402_DHALL05502,DHALL05402,DHALL05502
DHALL05502_DHALL05602,DHALL05502,DHALL05602
DHALL05602_DHALL05702,DHALL05602,DHALL05702
DHALL05702_DHALL05802,DHALL05702,DHALL05802
DHALL05502_DHALL05902,DHALL05502,DHALL05902
DHALL05702_DELEV00D02,DHALL05702,DELEV00D02
DHALL05902_DDEPT00402,DHALL05902,DDEPT00402
